,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Feels like,Name
456,juazeiro,90,BR,1580077012,100,-9.41,-40.5,71.6,3.36,78.17,Juazeiro
457,madras,100,IN,1580076817,88,13.09,80.28,75.99,3.36,80.55,Chennai
458,kedrovyy,72,RU,1580076724,71,56.17,91.82,6.8,2.24,-0.78,Kedrovyy
459,xining,0,CN,1580077012,82,36.62,101.77,7.72,4.12,-0.74,Xining
460,enumclaw,20,US,1580077012,76,47.2,-121.99,54.0,14.99,42.37,Enumclaw
461,tessalit,91,ML,1580077012,11,20.2,1.01,72.18,4.59,64.15,Tessalit
462,khorinsk,18,RU,1580077012,93,52.17,109.77,-2.88,1.72,-10.32,Khorinsk
463,carroll,90,US,1580077013,60,39.55,-77.02,45.0,8.05,33.26,Carroll
464,praia%20da%20vitoria,40,PT,1580076772,82,38.73,-27.07,62.6,18.77,54.25,Praia da Vitoria
465,lar,0,IN,1580077013,75,26.2,83.97,51.78,6.15,46.96,Lar
466,wigston,100,GB,1580077013,100,52.59,-1.11,45.0,9.17,35.65,Wigston
467,nelson%20bay,90,AU,1580076853,88,-32.72,152.15,78.01,9.17,82.06,Nelson Bay
468,bismarck,90,US,1580076793,100,46.81,-100.78,28.4,16.11,13.12,Bismarck
469,mangai,69,CD,1580077014,58,-4.05,19.53,73.99,1.28,75.92,Mangai
470,ramanuj%20ganj,0,IN,1580077014,51,23.8,83.7,51.17,3.65,45.79,Ramanuj Ganj
471,qinhuangdao,100,CN,1580077014,54,39.93,119.59,26.24,2.15,19.38,Qinhuangdao
472,shawnee,1,US,1580077089,66,39.05,-95.77,54.0,3.36,40.91,Shawnee
473,bera,0,BD,1580077090,59,24.08,89.62,56.64,5.82,51.64,Bera
474,lagoa,97,PT,1580077090,83,39.05,-27.98,62.33,14.54,56.39,Lagoa
475,vitim,72,RU,1580077090,91,59.45,112.56,9.86,8.05,-0.6,Vitim
476,balabac,40,PH,1580077090,81,7.99,117.06,79.61,4.63,86.36,Balabac
477,lensk,100,RU,1580077090,90,60.73,114.93,11.91,12.46,-0.9,Lensk
478,luderitz,36,NA,1580076678,49,-26.65,15.16,68.0,25.28,53.35,Luderitz
479,mingshui,100,CN,1580077090,77,36.72,117.5,35.01,1.01,29.82,Mingshui
480,meulaboh,100,ID,1580077090,84,4.14,96.13,81.34,5.93,88.97,Meulaboh
481,dickinson,1,US,1580076934,44,29.46,-95.05,77.0,6.93,68.65,Dickinson
482,winnemucca,90,US,1580077066,81,40.97,-117.74,42.8,11.41,32.94,Winnemucca
483,talaya,100,RU,1580077091,98,61.38,152.75,-30.21,1.32,-37.97,Talaya
484,chaoyang,100,CN,1580077091,62,41.57,120.46,20.57,0.63,14.41,Chaoyang
485,moundsville,90,US,1580077091,80,39.92,-80.74,35.01,9.17,23.76,Moundsville
486,mega,100,ET,1580077091,69,4.05,38.3,70.75,8.93,69.03,Mega
487,novorzhev,100,RU,1580077091,91,57.03,29.33,37.31,10.42,28.31,Novorzhev
488,ciudad%20bolivar,100,VE,1580077091,29,8.12,-63.55,91.17,6.91,88.65,Ciudad Bolivar
489,banatski%20karlovac,100,RS,1580077092,50,45.05,21.02,53.6,19.46,31.26,Banatski Karlovac
490,suntar,88,RU,1580077092,90,62.14,117.63,14.58,7.45,4.75,Suntar
491,chimoio,40,MZ,1580077092,83,-19.12,33.48,75.2,2.15,81.46,Chimoio
492,kolokani,100,ML,1580077092,9,13.57,-8.03,77.77,8.9,67.3,Kolokani
493,cedar%20city,1,US,1580076674,35,37.68,-113.06,55.4,18.34,39.25,Cedar City
494,ilhabela,0,BR,1580077092,72,-23.78,-45.36,78.13,10.89,78.82,Ilhabela
495,yuncheng,0,CN,1580077092,80,35.02,110.99,27.91,2.98,21.49,Yuncheng
496,kuching,75,MY,1580077092,100,1.55,110.33,77.0,3.36,86.67,Kuching
497,dongsheng,100,CN,1580076836,95,39.82,109.98,19.8,0.43,14.43,Dongsheng
498,port%20pirie,75,AU,1580077093,77,-33.18,138.02,69.8,12.75,66.76,Port Pirie
499,lompoc,40,US,1580076667,77,34.64,-120.46,66.99,17.22,55.15,Lompoc
500,pacific%20grove,75,US,1580077093,82,36.62,-121.92,64.99,8.05,56.39,Pacific Grove
501,olean,90,US,1580077093,100,42.08,-78.43,34.0,8.05,22.84,Olean
502,am%20timan,26,TD,1580077093,13,11.03,20.28,68.5,5.21,60.21,Am Timan
503,pemangkat,36,ID,1580077093,93,1.17,108.97,76.37,5.75,83.01,Pemangkat
504,hoyanger,75,NO,1580077093,75,61.22,6.07,46.4,9.17,33.3,Hoyanger
505,hanna,100,CA,1580077094,94,51.63,-111.9,25.0,3.0,18.66,Hanna
506,byron%20bay,40,AU,1580076796,69,-28.65,153.62,81.0,3.36,81.84,Byron Bay
507,novobureyskiy,99,RU,1580077094,98,49.8,129.88,-5.71,3.42,-14.17,Novobureyskiy
508,dwarka,0,IN,1580077094,81,22.24,68.97,72.0,12.1,70.84,Dwarka
509,wahiawa,75,US,1580077094,65,21.5,-158.02,82.0,11.41,78.73,Wahiawa
510,show%20low,1,US,1580076934,32,34.25,-110.03,61.0,11.41,47.37,Show Low
511,quthing,0,LS,1580077094,60,-30.4,27.7,58.32,5.21,54.1,Quthing
512,san%20nicolas,20,PH,1580077094,94,18.17,120.6,71.6,3.36,77.23,San Nicolas
513,verkhniye%20sergi,100,RU,1580077095,94,56.65,59.56,12.22,8.63,1.63,Verkhniye Sergi
514,shubarkuduk,100,KZ,1580077095,94,49.14,56.49,25.05,15.99,11.41,Shubarkuduk
515,celestun,0,MX,1580077095,75,20.87,-90.4,75.7,8.97,76.93,Celestun
516,kushima,75,JP,1580076683,93,31.46,131.23,57.2,31.09,36.23,Kushima
517,garner,1,US,1580076965,52,35.71,-78.61,52.0,9.95,41.23,Garner
518,cleveland,90,US,1580077042,94,41.5,-81.7,35.01,12.75,22.12,Cleveland
519,taoudenni,0,ML,1580077096,22,22.68,-3.98,75.69,9.98,66.81,Taoudenni
520,guder,99,ET,1580077096,88,8.97,37.77,53.26,8.39,48.56,Guder
521,fare,5,PF,1580077096,75,-16.7,-151.02,82.94,11.03,86.61,Fare
522,egvekinot,100,RU,1580077096,66,66.32,-179.17,-4.52,0.49,-11.52,Egvekinot
523,tambun,40,ID,1580077096,88,-6.26,107.07,78.01,1.12,86.04,Tambun
524,yaan,32,NG,1580077096,12,7.38,8.57,78.69,4.45,71.37,Yaan
525,albert,100,FR,1580077097,100,50.0,2.65,46.99,17.22,35.13,Albert
526,marathon,90,US,1580077097,86,44.9,-89.77,30.2,6.64,18.79,Marathon
527,hamilton,75,US,1580077097,60,39.18,-84.53,44.01,4.7,33.46,Hamilton
528,gazojak,82,TM,1580077097,55,41.19,61.4,33.33,11.56,21.72,Gazojak
529,puri,0,IN,1580077097,93,19.8,85.85,60.8,4.0,61.36,Puri
530,okha,28,RU,1580077098,83,53.57,142.95,-8.32,19.13,-25.8,Okha
531,suleja,22,NG,1580077098,46,9.18,7.18,69.8,5.82,66.11,Suleja
532,peniche,20,PT,1580077002,87,39.36,-9.38,55.0,5.82,49.23,Peniche
533,queseria,40,MX,1580077099,54,19.37,-103.58,78.8,11.41,75.92,Queseria
534,la%20ronge,90,CA,1580077099,92,55.1,-105.28,21.2,8.05,11.61,La Ronge
535,maumere,32,ID,1580077100,84,-8.62,122.21,78.01,3.29,85.24,Maumere
536,zapolyarnyy,75,RU,1580077100,72,69.42,30.81,12.2,8.05,1.6,Zapolyarnyy
537,alzamay,86,RU,1580077100,91,55.56,98.66,15.4,4.23,7.47,Alzamay
538,luanda,75,AO,1580077101,74,-8.84,13.23,82.4,6.93,87.85,Luanda
539,mayo,90,US,1580077101,56,38.89,-76.51,46.99,8.05,35.67,Mayo
540,ipira,100,BR,1580077101,88,-12.16,-39.74,77.52,4.92,84.34,Ipira
541,sibolga,99,ID,1580077101,97,1.74,98.78,72.52,1.81,79.97,Sibolga
542,san%20jose%20ojetenan,75,GT,1580077101,70,15.22,-91.97,84.2,10.29,72.18,San Jose Ojetenan
543,auki,99,SB,1580077101,75,-8.77,160.7,84.2,8.46,90.03,Auki
544,alyangula,40,AU,1580077101,89,-13.85,136.42,84.2,8.05,93.58,Alyangula
545,villamontes,0,BO,1580077102,15,-21.25,-63.5,99.7,9.31,93.02,Villamontes
546,harper,38,LR,1580077102,90,4.38,-7.72,78.75,2.3,88.12,Harper
547,nabire,95,ID,1580077102,97,-3.37,135.48,73.0,1.43,80.92,Nabire
548,saldanha,0,ZA,1580076666,72,-33.01,17.94,59.0,3.36,57.18,Saldanha
549,kandi,0,BJ,1580077102,10,11.13,2.94,72.21,5.28,63.64,Kandi
550,grants%20pass,90,US,1580077100,50,42.44,-123.33,57.0,3.36,49.17,Grants Pass
551,salalah,2,OM,1580077177,15,17.02,54.09,69.8,16.11,55.74,Salalah
552,santa%20maria,74,BR,1580077178,46,-29.68,-53.81,91.4,5.82,94.62,Santa Maria
553,mehamn,75,NO,1580077178,73,71.04,27.85,24.8,12.75,9.61,Mehamn
554,eureka,75,US,1580076992,67,40.8,-124.16,59.0,9.17,51.4,Eureka
555,narasannapeta,0,IN,1580077179,93,18.42,84.05,67.6,2.71,71.58,Narasannapeta
556,roebourne,0,AU,1580077179,41,-20.78,117.13,86.94,4.94,87.57,Roebourne
557,dunedin,100,NZ,1580076881,68,-45.87,170.5,66.0,6.53,63.91,Dunedin
558,katsuura,75,JP,1580077180,70,35.13,140.3,43.0,8.05,34.52,Katsuura
559,ewa%20beach,40,US,1580077181,51,21.32,-158.01,82.4,9.17,78.06,'Ewa Beach
560,gondanglegi,28,ID,1580077181,92,-7.75,112.01,73.99,4.32,79.99,Gondanglegi
561,nouakchott,46,MR,1580077181,56,18.09,-15.98,73.4,5.82,72.25,Nouakchott
562,albufeira,0,PT,1580077181,87,37.09,-8.25,57.2,3.36,55.71,Albufeira
563,geraldton,33,AU,1580077181,93,-28.77,114.6,62.6,16.26,56.91,Geraldton
564,kumano,75,JP,1580077182,80,34.34,132.59,46.4,21.92,29.17,Kumano
